sentinel_depth,sentinel_temperature,sentinel_salinity,sentinel_density,slocum_depth,slocum_temperature,slocum_salinity,slocum_density
-0.9,21.4522,999.0,999.0,-0.15,8.2969,0.0012,999.8615
-0.9,21.4522,999.0,999.0,-0.14,8.2912,0.0012,999.8618
-0.93,21.4524,999.0,999.0,-0.15,8.2876,0.0012,999.862
-0.91,21.4523,0.0006,998.1271,-0.14,8.291,0.0012,999.8618
-0.93,21.4524,0.0,998.1266,-0.14,8.296,0.0012,999.8615
-0.9,21.4522,999.0,999.0,-0.14,8.2997,0.0012,999.8613
-0.91,21.4523,999.0,999.0,-0.14,8.298,0.0012,999.8614
-0.92,21.4522,999.0,999.0,-0.14,8.298,0.0012,999.8614
-0.92,21.4519,999.0,999.0,-0.19,3.0179,32.2869,1025.6001
-0.93,21.452,999.0,999.0,-0.2,3.0037,32.1221,1025.4706
-0.91,21.4514,999.0,999.0,-0.16,2.998,32.1375,1025.4833
-0.92,21.4512,999.0,999.0,-0.24,2.9972,32.1308,1025.4781
-0.92,21.4509,999.0,999.0,-0.18,3.0033,32.1132,1025.4635
-0.92,21.4505,999.0,999.0,-0.24,3.0076,32.14,1025.4845
-0.91,21.4502,999.0,999.0,-0.27,3.0157,31.9218,1025.3107
-0.92,21.4498,999.0,999.0,-0.24,3.007,32.1516,1025.4937
-0.91,21.4493,999.0,999.0,-0.25,3.0036,32.1506,1025.4932
-0.92,21.4491,999.0,999.0,-0.23,3.0074,32.1466,1025.4898
-0.92,21.4486,999.0,999.0,-0.22,3.005,32.1348,1025.4806
-0.92,21.4483,999.0,999.0,-0.22,3.0026,32.1454,1025.4892
-0.93,21.4483,999.0,999.0,-0.26,3.0032,32.1415,1025.486
-0.91,21.4483,999.0,999.0,-0.28,3.0007,32.137,1025.4826
-0.91,21.4485,999.0,999.0,-0.27,3.002,32.1339,1025.4802
-0.93,21.4484,999.0,999.0,-0.33,2.9958,32.1359,1025.4822
-0.91,21.4485,999.0,999.0,-0.34,2.9995,32.1298,1025.4771
-0.95,21.4485,999.0,999.0,-0.3,3.0099,32.1288,1025.4754
-0.92,21.4489,999.0,999.0,-0.31,3.013,32.1242,1025.4715
-0.93,21.4487,999.0,999.0,-0.32,3.0339,32.1239,1025.4695
-0.93,21.4487,999.0,999.0,-0.34,3.0132,32.1262,1025.4731
-0.92,21.4487,999.0,999.0,-0.36,2.996,32.1236,1025.4724
-0.92,21.4487,999.0,999.0,-0.43,3.0713,32.2407,1025.5589
-0.91,21.4486,999.0,999.0,-0.43,3.0069,32.1233,1025.4713
-0.94,21.4487,999.0,999.0,-0.33,3.0,32.1165,1025.4665
-0.91,21.4483,999.0,999.0,-0.37,3.0033,32.1148,1025.4649
-0.92,21.4485,999.0,999.0,-0.39,3.0117,32.1144,1025.4638
-1.29,7.9021,999.0,999.0,-0.18,2.9971,32.1158,1025.4662
-1.28,7.9112,999.0,999.0,-0.12,2.9974,32.1159,1025.4662
-1.29,7.9201,999.0,999.0,-0.15,3.0007,32.1168,1025.4667
-1.28,7.9321,999.0,999.0,0.06,3.0005,32.1195,1025.4688
-1.29,7.9298,999.0,999.0,0.44,2.9935,32.1202,1025.4699
-1.28,7.9211,999.0,999.0,1.08,2.9891,32.1223,1025.472
-1.29,7.9259,999.0,999.0,1.88,2.9875,32.1248,1025.4741
-1.3,7.9258,999.0,999.0,2.63,2.9894,32.1276,1025.4762
-1.28,7.9235,999.0,999.0,3.41,2.9918,32.1309,1025.4786
-1.28,7.9254,0.0,999.8803,4.23,2.9719,32.1441,1025.4907
-1.28,7.9298,999.0,999.0,4.85,2.9612,32.1445,1025.4919
-1.27,7.9393,999.0,999.0,5.44,2.9507,32.1507,1025.4977
-1.29,7.938,999.0,999.0,5.96,2.9837,32.1437,1025.4894
-1.28,7.9305,999.0,999.0,6.42,2.9757,32.1494,1025.4946
-1.29,7.926,999.0,999.0,6.8,2.9835,32.1471,1025.4921
-1.27,7.9273,999.0,999.0,7.08,2.95,32.1561,1025.5021
-1.28,7.922,0.0,999.8804,7.38,2.9581,32.1526,1025.4986
-1.27,7.9197,999.0,999.0,7.48,2.9529,32.1471,1025.4947
-1.32,7.9187,999.0,999.0,7.59,2.9649,32.158,1025.5023
-1.28,7.912,999.0,999.0,7.6,2.9644,32.1535,1025.4988
-1.3,7.9011,999.0,999.0,7.66,2.9716,32.1473,1025.4933
-1.27,7.8868,999.0,999.0,7.57,2.9678,32.1567,1025.501
-1.28,7.8736,999.0,999.0,7.46,2.9502,32.1529,1025.4995
-1.29,7.8586,999.0,999.0,7.26,2.9526,32.1659,1025.5097
-1.3,7.854,0.0,999.8838,6.89,2.9409,32.1552,1025.5021
-1.29,7.8498,0.0,999.8841,6.35,2.9837,32.1479,1025.4927
-1.28,7.8423,999.0,999.0,5.82,2.993,32.1387,1025.4847
-1.3,7.8227,999.0,999.0,5.28,2.995,32.1463,1025.4905
